name,national_team,club,POSITION,CLUB NUMBER,NATIONAL TEAM NUMBER,COUNTRY OF BIRTH,DATE OF BIRTH,Matches played,Minutes played,Goals,Saves,Clean sheets,Passing accuracy (%),Top speed (km/h),Distance covered (km),Yellow cards,Red cards,Saves from direct free-kicks,Saves from indirect free-kicks,Saves from penalties,Goals conceded,Claims,High claims,Low claims,Punches made,Penalties scored,Balls recovered,Blocks,Own goals conceded,Penalties conceded,Clearances completed,Attempts conceded on target,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Crossing accuracy (%),Crosses completed,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Right foot,Left foot,Head,Other,Assists,Clear chances,Penalties missed,Penalties awarded,Corners taken,Offsides,Dribbles,Runs into attacking third,Runs into key play area,Runs into penalty area,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered
LUKA SUČIĆ,Croatia,Salzburg,Midfielder,,,,08/9/2002 (21),3,140,0,,,94%,29,18.57,1,0,,,,,,,,,0,5,0,0,0,0/0,0,78/83,24/25,49/53,5/5,16/16,30/32,19/20,0%,0/1,2,97,11,8,3,0,0,0,0,0,0,0,0,0,0,2,2,5,0,1,0,1,1
IVAN PERIŠIĆ,Croatia,,,,,,02/2/1989 (35),3,138,0,,,65.67%,32.3,18.09,0,0,,,,,,,,,0,6,1,0,0,3/3,0,38/46,12/14,22/27,4/5,13/14,1/1,16/21,26.67%,4/15,0,80,1,2,6,0,0,0,0,0,0,0,0,0,0,4,1,2,2,4,0,0,0
ANTE BUDIMIR,Croatia,Osasuna,,,,,22/7/1991 (32),3,122,0,,,52.34%,30.7,15.8,0,0,,,,,,,,,0,3,0,0,0,1/2,0,7/13,3/4,4/9,0/0,2/3,1/2,1/4,0%,0/1,0,37,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,1,0,5,0,2,1
MARIO PAŠALIĆ,Croatia,Atalanta,Midfielder,,,,09/2/1995 (29),3,115,0,,,87.34%,31.7,15.65,0,0,,,,,,,,,0,1,0,0,0,2/2,0,35/39,9/11,25/26,1/2,10/10,14/14,7/9,0%,0/2,0,51,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0
JOSIP JURANOVIĆ,Croatia,Union Berlin,Defender,,,,16/8/1995 (28),2,91,0,,,96.5%,32.5,11.68,0,0,,,,,,,,,0,7,1,0,0,3/3,0,45/48,9/10,30/32,6/6,14/14,23/24,0/0,37.5%,3/8,0,71,4,8,4,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1
BRUNO PETKOVIĆ,Croatia,Dinamo Zagreb,Forward,,,,16/9/1994 (29),2,87,0,,,88%,28.3,9.42,0,0,,,,,,,,,0,1,0,0,0,1/1,0,19/21,6/7,11/12,2/2,2/2,7/8,6/7,0%,0/0,0,35,2,0,1,0,0,0,0,0,1,1,1,0,0,3,1,1,1,1,0,1,5
LUKA IVANUŠEC,Croatia,Feyenoord,Forward,,,,26/11/1998 (25),1,20,0,,,67%,25.5,3.85,1,0,,,,,,,,,0,2,0,0,0,0/0,0,8/12,5/7,3/5,0/0,1/1,0/0,5/6,0%,0/0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BORNA SOSA,Croatia,Ajax,Defender,,,,21/1/1998 (26),1,6,0,,,100%,32,1.33,0,0,,,,,,,,,0,0,1,0,0,0/0,0,1/1,1/1,0/0,0/0,0/0,0/0,0/0,0%,0/1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARTIN BATURINA,Croatia,Dinamo Zagreb,Midfielder,,,,16/2/2003 (21),1,6,0,,,50%,31.1,1.65,0,0,,,,,,,,,0,1,0,0,0,0/0,0,2/4,0/0,2/4,0/0,1/1,0/0,1/2,0%,0/0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0
MARCO PAŠALIĆ,Croatia,Rijeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEDILJKO LABROVIĆ,Croatia,Rijeka,Goalkeeper,,,,10/10/1999 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN ERLIĆ,Croatia,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKOLA VLAŠIĆ,Croatia,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKO PJACA,Croatia,Rijeka,Forward,,,,06/5/1995 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVICA IVUŠIĆ,Croatia,Pafos,Goalkeeper,,,,01/2/1995 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMAGOJ VIDA,Croatia,AEK Athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMÁŠ SOUČEK,Czechia,West Ham,Midfielder,,,,27/2/1995 (29),3,270,1,,,78.67%,30,37.01,2,0,,,,,,,,,0,19,0,0,0,8/9,0,75/90,23/26,46/55,6/9,13/13,18/19,25/27,33.34%,1/3,1,127,9,8,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,7,0,2,4
VLADIMÍR COUFAL,Czechia,West Ham,Defender,,,,22/8/1992 (31),3,270,0,,,73%,31.6,35.18,1,0,,,,,,,,,0,8,6,0,0,11/14,0,78/101,29/35,44/54,5/12,20/21,28/37,5/5,27.28%,6/22,2,183,8,6,11,0,0,0,0,1,0,0,0,7,0,2,5,1,0,1,0,0,1
ROBIN HRANÁČ,Czechia,Viktoria Plzeň,Defender,,,,29/1/2000 (24),3,270,0,,,88.34%,34,30.5,0,0,,,,,,,,,0,14,1,1,1,9/9,0,80/90,9/9,63/69,8/12,5/5,26/26,24/26,0%,0/0,5,114,13,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,1,0
LADISLAV KREJČÍ,Czechia,Sparta Praha,Defender,,,,20/4/1999 (25),3,270,0,,,91%,32.4,32.75,1,0,,,,,,,,,0,17,1,0,0,5/6,0,117/129,17/18,93/99,7/12,17/18,16/16,49/51,0%,0/2,5,163,15,2,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0,6,2,3,0
TOMÁŠ HOLEŠ,Czechia,Slavia Praha,Midfielder,,,,31/3/1993 (31),3,269,0,,,73.67%,34.71,30.71,1,0,,,,,,,,,0,11,3,0,0,10/12,0,86/109,12/16,64/74,10/19,7/7,30/34,18/18,40%,2/5,4,148,13,3,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2
LUKÁŠ PROVOD,Czechia,Slavia Praha,Midfielder,,,,23/10/1996 (27),3,235,1,,,82%,34.21,28.58,1,0,,,,,,,,,0,16,1,0,0,2/2,0,71/85,25/29,42/51,4/5,18/19,16/18,21/22,50%,1/2,4,117,10,6,3,1,0,0,0,0,0,0,0,0,0,2,3,3,0,5,0,2,5
JINDŘICH STANĚK,Czechia,Slavia Praha,Goalkeeper,,,,27/4/1996 (28),3,235,0,9,0,72.67%,23.1,15.62,0,0,0,0,0,4,5,2,3,2,0,0,0,0,0,2/2,12,48/73,6/6,20/20,22/47,0/0,16/16,7/8,0%,0/0,8,85,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID JURÁSEK,Czechia,Hoffenheim,Defender,,,,07/8/2000 (23),2,162,0,,,58%,35.1,18.36,1,0,,,,,,,,,0,6,1,0,0,2/2,0,36/57,5/13,27/34,4/10,11/11,1/2,16/21,21.43%,3/14,1,94,2,7,8,0,0,0,0,0,0,0,0,1,0,3,6,0,0,1,0,0,0
PATRIK SCHICK,Czechia,Leverkusen,Forward,,,,24/1/1996 (28),2,128,1,,,73.5%,30.4,15.61,2,0,,,,,,,,,0,3,0,0,0,4/5,0,25/33,10/14,14/18,1/1,6/7,11/14,4/5,0%,0/2,0,58,0,1,1,0,0,0,1,0,0,0,0,0,0,5,3,2,2,1,1,1,0
ADAM HLOŽEK,Czechia,Leverkusen,Forward,,,,25/7/2002 (21),2,110,0,,,90%,34,13.77,0,0,,,,,,,,,0,0,0,0,0,0/1,0,16/17,4/5,12/12,0/0,5/5,5/5,3/3,0%,0/0,0,32,1,2,1,0,0,0,0,0,1,0,0,0,0,2,2,2,0,2,0,0,1
MOJMÍR CHYTIL,Czechia,Slavia Praha,Forward,,,,29/4/1999 (25),3,107,0,,,59%,30.7,13.13,0,0,,,,,,,,,0,1,0,0,0,1/3,0,7/14,4/7,3/4,0/3,5/6,0/2,1/2,0%,0/2,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3
JAN KUCHTA,Czechia,Sparta Praha,Forward,,,,08/1/1997 (27),2,95,0,,,58.5%,27.6,12.98,0,0,,,,,,,,,0,1,0,0,0,1/1,0,9/14,3/4,6/10,0/0,4/5,2/4,0/1,0%,0/0,0,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DAVID DOUDĚRA,Czechia,Slavia Praha,Defender,,,,31/5/1998 (26),1,90,0,,,74%,33.5,11.25,0,0,,,,,,,,,0,1,0,0,0,3/3,0,17/23,10/10,6/9,1/4,4/4,2/2,5/9,0%,0/1,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
ONDŘEJ LINGR,Czechia,Feyenoord,Midfielder,,,,07/10/1998 (25),3,80,0,,,72.67%,29.4,12.63,0,0,,,,,,,,,0,3,0,0,0,0/0,0,19/24,8/10,11/14,0/0,7/7,3/5,5/6,0%,0/1,1,40,0,2,1,0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,0,0,2
PAVEL ŠULC,Czechia,Viktoria Plzeň,Midfielder,,,,29/12/2000 (23),1,79,0,,,80%,30.8,10.65,0,0,,,,,,,,,0,2,1,0,0,1/1,0,12/15,5/8,7/7,0/0,0/2,5/5,4/4,0%,0/0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1
VÁCLAV ČERNÝ,Czechia,Wolfsburg,Forward,,,,17/10/1997 (26),1,55,0,,,83%,32.5,7.22,0,0,,,,,,,,,0,0,0,0,0,1/1,0,25/30,17/19,7/9,1/2,4/5,8/9,7/7,33.34%,2/6,0,40,2,4,1,0,0,0,0,0,1,0,0,4,1,1,3,1,1,1,0,0,0
MATĚJ JURÁSEK,Czechia,Slavia Praha,Midfielder,,,,30/8/2003 (20),2,44,0,,,63%,31.2,7.08,0,0,,,,,,,,,0,0,0,0,0,1/1,0,14/19,3/3,11/14,0/2,4/4,3/3,4/7,0%,0/7,0,39,1,2,3,0,0,0,0,0,0,0,0,1,0,7,2,3,1,0,0,0,1
ANTONÍN BARÁK,Czechia,Fiorentina,Midfielder,,,,03/12/1994 (29),3,40,0,,,88.67%,30,6.55,2,1,,,,,,,,,0,1,0,0,0,0/0,0,20/22,3/3,17/19,0/0,8/8,7/7,2/2,0%,0/1,0,32,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,1
TOMÁŠ CHORÝ,Czechia,Viktoria Plzeň,Forward,,,,26/1/1995 (29),2,36,0,,,30%,31.9,4.83,0,1,,,,,,,,,0,0,0,0,0,0/0,0,3/5,0/2,3/3,0/0,1/1,2/3,0/1,0%,0/0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1
MATĚJ KOVÁŘ,Czechia,Leverkusen,Goalkeeper,,,,17/5/2000 (24),1,35,0,1,0,47%,21.1,2.38,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0/0,2,8/17,0/0,3/3,5/14,0/0,2/2,2/2,0%,0/0,0,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETR ŠEVČÍK,Czechia,Slavia Praha,Midfielder,,,,04/5/1994 (30),2,20,0,,,66%,28.6,4.01,0,0,,,,,,,,,0,1,0,0,0,0/0,0,21/28,9/12,12/15,0/1,4/4,3/5,4/6,0%,0/0,0,30,5,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
LUKÁŠ ČERV,Czechia,Viktoria Plzeň,Midfielder,,,,10/4/2001 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN VITÍK,Czechia,Sparta Praha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVID ZIMA,Czechia,Slavia Praha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMÁŠ VLČEK,Czechia,Slavia Praha,Defender,,,,28/2/2001 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITĚZSLAV JAROŠ,Czechia,Sturm Graz,Goalkeeper,,,,23/7/2001 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDREAS CHRISTENSEN,Denmark,Barcelona,Defender,,,,10/4/1996 (28),3,270,0,,,95.34%,33.71,27.76,0,0,,,,,,,,,0,16,0,0,0,7/10,0,180/187,58/59,114/118,8/10,12/12,42/44,76/76,0%,0/0,1,216,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2
JOACHIM ANDERSEN,Denmark,Crystal Palace,Defender,,,,31/5/1996 (28),3,270,0,,,86.67%,29.8,29.68,0,0,,,,,,,,,0,17,3,0,0,6/6,0,209/241,48/53,140/152,21/36,19/19,97/105,28/30,25%,1/4,3,272,19,9,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,1,2,0
JANNIK VESTERGAARD,Denmark,Leicester,Defender,,,,03/8/1992 (31),3,270,0,,,94.67%,29.2,27.52,1,0,,,,,,,,,0,22,0,0,0,8/9,0,199/210,50/50,140/144,9/16,8/8,55/57,70/70,0%,0/0,3,236,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3
KASPER SCHMEICHEL,Denmark,Anderlecht,Goalkeeper,,,,05/11/1986 (37),3,270,0,5,1,80%,27.2,12.57,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,1/1,7,68/85,10/10,39/39,19/36,0/0,18/19,22/22,0%,0/0,6,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIERRE-EMILE HØJBJERG,Denmark,Tottenham,Midfielder,,,,05/8/1995 (28),3,263,0,,,92%,32.21,30.65,0,0,,,,,,,,,0,18,0,0,0,4/5,0,214/234,73/78,122/132,19/24,35/36,50/51,73/80,0%,0/2,4,272,29,16,4,0,0,0,0,0,0,0,0,0,0,2,7,7,1,4,0,0,3
CHRISTIAN ERIKSEN,Denmark,Man United,Midfielder,,,,14/2/1992 (32),3,260,1,,,83%,30.5,33.46,0,0,,,,,,,,,0,7,0,0,0,0/0,0,128/155,54/66,62/71,12/18,38/41,26/32,37/47,37.5%,9/24,8,191,11,12,11,1,0,0,0,0,0,0,0,20,0,3,6,4,2,0,0,0,4
MORTEN HJULMAND,Denmark,Sporting CP,Midfielder,,,,25/6/1999 (25),3,248,1,,,91%,29.9,30.26,2,0,,,,,,,,,0,6,1,0,0,1/1,0,199/218,73/84,118/125,8/9,60/61,49/51,60/63,0%,0/3,3,243,13,8,1,1,0,0,0,0,0,0,0,0,0,3,2,2,0,4,0,2,1
RASMUS HØJLUND,Denmark,Man United,Forward,,,,04/2/2003 (21),3,209,0,,,86%,35.5,23.99,0,0,,,,,,,,,0,3,0,0,0,0/0,0,32/37,18/20,14/16,0/1,9/10,10/11,8/11,0%,0/1,0,63,0,3,4,0,0,0,0,0,0,0,0,0,3,3,1,1,3,4,0,1,2
ALEXANDER BAH,Denmark,Benfica,Defender,,,,09/12/1997 (26),3,200,0,,,80%,32.8,25.96,0,0,,,,,,,,,0,9,0,0,0,6/7,0,94/117,32/38,58/71,4/8,46/46,25/33,4/4,25%,2/8,0,154,11,11,10,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2
JOAKIM MÆHLE,Denmark,Wolfsburg,Defender,,,,20/5/1997 (27),3,192,0,,,88%,31.8,25.92,1,0,,,,,,,,,0,9,0,0,0,3/3,0,71/85,24/27,43/52,4/6,34/34,15/17,11/15,20%,2/10,0,126,2,8,3,0,0,0,0,0,0,0,0,0,1,7,3,0,2,3,0,1,0
JONAS WIND,Denmark,Wolfsburg,Forward,,,,07/2/1999 (25),3,185,0,,,81.34%,27.3,20.5,1,0,,,,,,,,,0,1,0,0,0,0/0,0,61/76,36/45,25/31,0/0,21/23,11/18,19/21,0%,0/1,0,92,3,4,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,3,0,1,4
VICTOR KRISTIANSEN,Denmark,Bologna,Defender,,,,16/12/2002 (21),3,148,0,,,80.34%,34.3,18.07,0,0,,,,,,,,,0,7,0,0,0,3/3,0,56/70,15/19,41/51,0/0,21/21,0/0,31/40,0%,0/3,0,91,3,10,2,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0
ANDREAS SKOV OLSEN,Denmark,Club Brugge,Forward,,,,29/12/1999 (24),2,53,0,,,75%,32.9,8.02,0,0,,,,,,,,,0,1,0,0,0,0/0,0,15/21,5/7,9/12,1/2,6/6,5/9,2/3,50%,1/2,0,30,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0
KASPER DOLBERG,Denmark,Anderlecht,Forward,,,,06/10/1997 (26),2,38,0,,,81%,29.3,6,0,0,,,,,,,,,0,2,0,0,0,0/0,0,6/9,4/5,1/3,1/1,1/3,3/3,2/2,100%,1/1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIKKEL DAMSGAARD,Denmark,Brentford,Forward,,,,03/7/2000 (23),1,33,0,,,69%,28.3,4.28,0,0,,,,,,,,,0,2,0,0,0,1/1,0,9/13,3/4,6/8,0/1,1/1,4/5,3/3,100%,1/1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUSSUF POULSEN,Denmark,Leipzig,Forward,,,,15/6/1994 (30),3,32,0,,,55.67%,31,5.62,0,0,,,,,,,,,0,1,0,0,0,0/0,0,8/14,4/5,4/8,0/1,4/5,2/4,1/1,0%,0/0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,2,0
CHRISTIAN NØRGAARD,Denmark,Brentford,Midfielder,,,,10/3/1994 (30),2,15,0,,,76%,28,2.96,1,0,,,,,,,,,0,2,0,0,0,0/0,0,13/17,5/7,8/9,0/1,4/4,2/2,7/10,0%,0/2,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
THOMAS DELANEY,Denmark,Anderlecht,Midfielder,,,,03/9/1991 (32),2,14,0,,,54%,26.7,3.04,0,0,,,,,,,,,0,2,0,0,0,0/0,0,4/7,2/4,2/2,0/1,1/2,0/0,1/2,0%,0/1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADS HERMANSEN,Denmark,Leicester,Goalkeeper,,,,11/7/2000 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATHIAS JENSEN,Denmark,Horsens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERS DREYER,Denmark,Anderlecht,Midfielder,,,,02/5/1998 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACOB BRUUN LARSEN,Denmark,Burnley,Midfielder,,,,19/9/1998 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASMUS KRISTENSEN,Denmark,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREDERIK RØNNOW,Denmark,Union Berlin,Goalkeeper,,,,04/8/1992 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMON KJÆR,Denmark,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATHIAS JØRGENSEN,Denmark,Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYLE WALKER,England,Man City,Defender,,,,28/5/1990 (34),3,270,0,,,92%,34.8,29.71,0,0,,,,,,,,,0,13,0,0,0,2/2,0,216/234,48/52,155/167,13/15,51/54,82/86,21/21,0%,0/1,6,276,23,16,1,0,0,0,0,0,0,0,0,0,0,4,9,2,2,2,1,2,0
MARC GUÉHI,England,Crystal Palace,Defender,,,,13/7/2000 (23),3,270,0,,,93%,32.8,29.15,1,0,,,,,,,,,0,26,3,0,0,4/5,0,197/210,34/39,153/158,10/13,15/15,38/40,84/86,0%,0/0,2,235,12,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,3
JOHN STONES,England,Man City,Defender,,,,28/5/1994 (30),3,270,0,,,94.34%,32.3,28.57,0,0,,,,,,,,,0,10,1,0,0,7/9,0,217/230,43/46,149/154,25/30,11/11,113/115,50/51,0%,0/0,4,245,12,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0
DECLAN RICE,England,Arsenal,Midfielder,,,,14/1/1999 (25),3,270,0,,,92.67%,32,33.79,0,0,,,,,,,,,0,21,0,0,0,1/3,0,192/206,55/58,126/136,11/12,30/30,45/48,74/77,100%,1/1,6,237,18,13,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,1,0
JORDAN PICKFORD,England,Everton,Goalkeeper,,,,07/3/1994 (30),3,270,0,8,2,78%,26.4,17.9,0,0,0,0,0,1,7,1,6,2,0,0,0,0,0,3/3,9,89/116,10/10,56/56,23/50,1/1,25/25,30/30,0%,0/0,9,127,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUDE BELLINGHAM,England,Real Madrid,Midfielder,,,,29/6/2003 (20),3,266,1,,,89.67%,33.5,29.98,0,0,,,,,,,,,0,9,1,0,0,2/2,0,158/175,44/52,108/115,6/8,44/47,28/29,56/62,0%,0/1,2,213,16,11,2,0,0,1,0,0,0,0,0,0,0,10,7,6,0,2,0,1,6
KIERAN TRIPPIER,England,Newcastle,Defender,,,,19/9/1990 (33),3,264,0,,,88.67%,30.9,31.17,1,0,,,,,,,,,0,15,1,0,0,2/4,0,173/193,35/41,129/139,9/13,36/36,12/12,60/66,80%,4/5,7,218,19,10,7,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,3
HARRY KANE,England,Bayern,Forward,,,,28/7/1993 (30),3,249,1,,,77.34%,30.6,28.97,0,0,,,,,,,,,0,4,1,0,0,0/0,0,36/48,15/20,17/22,4/6,15/16,3/7,13/16,0%,0/2,0,80,2,1,3,0,1,0,0,0,1,0,0,0,0,1,4,4,0,2,0,0,8
PHIL FODEN,England,Man City,Midfielder,,,,28/5/2000 (24),3,248,0,,,87.67%,31.8,31.59,1,0,,,,,,,,,0,7,0,0,0,2/2,0,154/174,54/59,96/107,4/8,61/62,30/31,42/47,40%,2/5,5,201,8,14,5,0,0,0,0,0,0,0,0,2,2,7,4,5,1,0,0,0,2
BUKAYO SAKA,England,Arsenal,Forward,,,,05/9/2001 (22),3,216,0,,,91.34%,31.8,23.59,0,0,,,,,,,,,0,2,0,0,0,3/5,0,89/97,26/30,60/63,3/4,43/45,27/31,5/5,42.86%,3/7,0,129,2,9,5,0,0,0,0,1,0,0,0,0,0,12,3,7,4,4,0,1,5
TRENT ALEXANDER-ARNOLD,England,Liverpool,Defender,,,,07/10/1998 (25),3,129,0,,,82.67%,32,16.39,0,0,,,,,,,,,0,6,2,0,0,1/1,0,81/95,24/29,42/45,15/21,8/9,40/45,8/8,25%,1/4,3,117,10,2,4,0,0,0,0,0,0,0,0,1,0,3,1,5,2,1,0,1,3
CONOR GALLAGHER,England,Chelsea,Midfielder,,,,06/2/2000 (24),3,102,0,,,89.34%,33.3,13.79,1,0,,,,,,,,,0,2,1,0,0,1/2,0,44/50,18/21,26/29,0/0,15/16,9/9,14/16,0%,0/0,1,71,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,1,5
KOBBIE MAINOO,England,Man United,Midfielder,,,,19/4/2005 (19),2,49,0,,,97%,27.2,7.11,0,0,,,,,,,,,0,2,0,0,0,0/0,0,35/37,19/20,16/17,0/0,18/18,8/9,6/6,100%,1/1,0,43,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
JARROD BOWEN,England,West Ham,Forward,,,,20/12/1996 (27),2,35,0,,,81.5%,29.3,5.15,0,0,,,,,,,,,0,0,0,0,0,1/1,0,9/11,3/3,6/8,0/0,6/7,3/3,0/0,33.34%,1/3,0,24,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,1
OLLIE WATKINS,England,Aston Villa,Forward,,,,30/12/1995 (28),1,21,0,,,0%,32.4,2.95,0,0,,,,,,,,,0,1,0,0,0,0/0,0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0%,0/0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EBERECHI EZE,England,Crystal Palace,Forward,,,,29/6/1998 (25),1,21,0,,,67%,26.9,2.76,0,0,,,,,,,,,0,0,0,0,0,0/0,0,4/6,1/2,2/3,1/1,2/3,0/0,1/2,0%,0/0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COLE PALMER,England,Chelsea,Midfielder,,,,06/5/2002 (22),1,19,0,,,100%,31.5,2.63,0,0,,,,,,,,,0,0,0,0,0,0/0,0,12/12,3/3,7/7,2/2,6/6,5/5,0/0,0%,0/2,0,21,2,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1
ANTHONY GORDON,England,Newcastle,Forward,,,,24/2/2001 (23),1,1,0,,,100%,28.5,0.71,0,0,,,,,,,,,0,0,0,0,0,0/0,0,2/2,0/0,2/2,0/0,0/0,0/0,1/1,0%,0/0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ADAM WHARTON,England,Crystal Palace,Midfielder,,,,06/2/2004 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVAN TONEY,England,Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZRI KONSA,England,Aston Villa,Defender,,,,23/10/1997 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARON RAMSDALE,England,Arsenal,Goalkeeper,,,,14/5/1998 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
